,column_complete,column_empty,highest_column_sum,highest_max_column,highest_max_row,highest_max_subgrid,highest_occ_puzzle,highest_row_sum,highest_subgrid_sum,iqr_puzzle,largest_column,largest_row,largest_subgrid,least_column_sum,least_condition_bin,least_condition_for_solution,least_highest_column,least_highest_row,least_highest_subgrid,least_max_column,least_max_row,least_max_subgrid,least_row_sum,least_subgrid_sum,lowest_occ_puzzle,max_clique,max_degree,max_num_edges,max_occurence,maxmissing_num_edges,maxratio_row,mean_add,mean_mul,mean_puzzle,min_occurence,minmax_column,minmax_row,minmax_subgrid,minratio_column,minratio_row,minratio_subgrid,missing_domain,missing_nodes,multiply_size,name_puzzle,num_domain,num_nodes,occ_max,occ_min,order_puzzle,percent_puzzle,puzzle_diagonal,range_max_clique,rangeminmax_subgrid,rangemintotalsubgrid,row_complete,row_empty,sd_column_add,sd_row_add,sd_subgrid_add,sdsize_row,sdsizesubgrid,set_cover,size_diagonal,size_puzzle,smallest_column,smallest_row,smallest_subgrid,subgrids_complete,subgrids_empty,sum_puzzle,sum_ratio_puzzle,total_edges,flatintvarschuf,flatintconstraintschuf,flattimechuf,comtime,algo
0,3.0,0.0,45.0,1.0,1.0,1.0,2.0,45.0,45.0,5.0,9.0,9.0,9.0,34.0,1.0,9.0,0.7555555555555555,0.7333333333333333,0.8,0.7555555555555555,0.7333333333333333,0.8,33.0,36.0,1.0,9.0,20.0,740.0,6.0,70.0,1.0,45.0,362880.0,4.641975308641976,1.0,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.0,7.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle1.txt,9.0,74.0,9.0,7.0,3.0,91.35802469135805,1.0,0.0,2.0,0.0,5.0,0.0,4.864839839775475,5.686240703077327,4.654746681256313,1.092906420717,0.8333333333333333,1.0,9.0,9.0,7.0,6.0,7.0,4.0,0.0,29.0,0.928395061728395,810.0,6.0,27.0,0.0344636,0.034617446153846154,chuf
1,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle10.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,10.0,27.0,0.0315006,0.031808292307692304,chuf
2,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle11.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,10.0,27.0,0.031925999999999996,0.032233692307692303,chuf
3,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle12.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,8.0,27.0,0.032013099999999996,0.032243869230769225,chuf
4,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle13.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,13.0,27.0,0.032423900000000005,0.03273159230769231,chuf
5,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle14.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,7.0,27.0,0.0322413,0.03247206923076923,chuf
6,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle15.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,9.0,27.0,0.0330454,0.03343001538461539,chuf
7,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle16.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,10.0,27.0,0.032531700000000004,0.03307016153846154,chuf
8,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle17.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,8.0,27.0,0.0333512,0.033505046153846155,chuf
9,2.0,0.0,45.0,1.0,1.0,1.0,4.0,45.0,45.0,6.0,9.0,9.0,9.0,15.0,1.0,9.0,0.3333333333333333,0.5777777777777777,0.5555555555555556,0.3333333333333333,0.5777777777777777,0.5555555555555556,26.0,25.0,3.0,9.0,20.0,660.0,4.0,150.0,1.0,45.0,362880.0,4.08641975308642,3.0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.0,15.0,362880.0,benchmark_puzzles/benchmarks3x3/10/puzzle18.txt,9.0,66.0,9.0,6.0,3.0,81.48148148148148,0.0,0.0,4.0,0.0,1.0,0.0,12.684198393626964,10.509255180289633,10.561986345169906,1.0,1.3228756555322951,1.0,8.0,9.0,4.0,6.0,5.0,2.0,0.0,74.0,0.817283950617284,810.0,12.0,27.0,0.0338788,0.03426341538461539,chuf
