name,pathschuf,flatintvarschuf,flatintconstraintschuf,flattimechuf
benchmark_puzzles/benchmarks3x3/5/puzzle1.txt,0.0,2.0,27.0,0.0364795
benchmark_puzzles/benchmarks3x3/5/puzzle2.txt,0.0,4.0,27.0,0.0330602
benchmark_puzzles/benchmarks3x3/5/puzzle3.txt,0.0,6.0,27.0,0.0348872
benchmark_puzzles/benchmarks3x3/5/puzzle4.txt,0.0,2.0,27.0,0.0303041
benchmark_puzzles/benchmarks3x3/5/puzzle5.txt,0.0,11.0,27.0,0.033305
benchmark_puzzles/benchmarks3x3/5/puzzle6.txt,0.0,3.0,27.0,0.0295687
benchmark_puzzles/benchmarks3x3/5/puzzle7.txt,0.0,5.0,27.0,0.0335095
benchmark_puzzles/benchmarks3x3/5/puzzle8.txt,0.0,3.0,27.0,0.0333895
benchmark_puzzles/benchmarks3x3/5/puzzle9.txt,0.0,4.0,27.0,0.0328403
benchmark_puzzles/benchmarks3x3/5/puzzle10.txt,0.0,4.0,27.0,0.0340352
benchmark_puzzles/benchmarks3x3/5/puzzle11.txt,0.0,4.0,27.0,0.0331741
benchmark_puzzles/benchmarks3x3/5/puzzle12.txt,0.0,5.0,27.0,0.0301582
benchmark_puzzles/benchmarks3x3/5/puzzle13.txt,0.0,6.0,27.0,0.0354636
benchmark_puzzles/benchmarks3x3/5/puzzle14.txt,0.0,6.0,27.0,0.0335892
benchmark_puzzles/benchmarks3x3/5/puzzle15.txt,0.0,4.0,27.0,0.0314792
benchmark_puzzles/benchmarks3x3/5/puzzle16.txt,0.0,5.0,27.0,0.0344675
benchmark_puzzles/benchmarks3x3/5/puzzle17.txt,0.0,2.0,27.0,0.0327421
benchmark_puzzles/benchmarks3x3/5/puzzle18.txt,0.0,9.0,27.0,0.0336205
benchmark_puzzles/benchmarks3x3/5/puzzle19.txt,0.0,5.0,27.0,0.0324946
benchmark_puzzles/benchmarks3x3/5/puzzle20.txt,0.0,3.0,27.0,0.0318573
benchmark_puzzles/benchmarks3x3/10/puzzle1.txt,0.0,6.0,27.0,0.0344636
benchmark_puzzles/benchmarks3x3/10/puzzle2.txt,0.0,4.0,27.0,0.0337267
benchmark_puzzles/benchmarks3x3/10/puzzle3.txt,0.0,10.0,27.0,0.0322477
benchmark_puzzles/benchmarks3x3/10/puzzle4.txt,0.0,5.0,27.0,0.033887
benchmark_puzzles/benchmarks3x3/10/puzzle5.txt,0.0,15.0,27.0,0.0313001
benchmark_puzzles/benchmarks3x3/10/puzzle6.txt,0.0,8.0,27.0,0.0335817
benchmark_puzzles/benchmarks3x3/10/puzzle7.txt,0.0,10.0,27.0,0.0309565
benchmark_puzzles/benchmarks3x3/10/puzzle8.txt,0.0,8.0,27.0,0.0324388
benchmark_puzzles/benchmarks3x3/10/puzzle9.txt,0.0,8.0,27.0,0.0326028
benchmark_puzzles/benchmarks3x3/10/puzzle10.txt,0.0,10.0,27.0,0.0315006
benchmark_puzzles/benchmarks3x3/10/puzzle11.txt,0.0,10.0,27.0,0.031926
benchmark_puzzles/benchmarks3x3/10/puzzle12.txt,0.0,8.0,27.0,0.0320131
benchmark_puzzles/benchmarks3x3/10/puzzle13.txt,0.0,13.0,27.0,0.0324239
benchmark_puzzles/benchmarks3x3/10/puzzle14.txt,0.0,7.0,27.0,0.0322413
benchmark_puzzles/benchmarks3x3/10/puzzle15.txt,0.0,9.0,27.0,0.0330454
benchmark_puzzles/benchmarks3x3/10/puzzle16.txt,0.0,10.0,27.0,0.0325317
benchmark_puzzles/benchmarks3x3/10/puzzle17.txt,0.0,8.0,27.0,0.0333512
benchmark_puzzles/benchmarks3x3/10/puzzle18.txt,0.0,12.0,27.0,0.0338788
benchmark_puzzles/benchmarks3x3/10/puzzle19.txt,0.0,7.0,27.0,0.0330073
benchmark_puzzles/benchmarks3x3/10/puzzle20.txt,0.0,7.0,27.0,0.0306333
benchmark_puzzles/benchmarks3x3/15/puzzle1.txt,0.0,9.0,27.0,0.0323443
benchmark_puzzles/benchmarks3x3/15/puzzle2.txt,0.0,9.0,27.0,0.032821
benchmark_puzzles/benchmarks3x3/15/puzzle3.txt,0.0,13.0,27.0,0.0323107
benchmark_puzzles/benchmarks3x3/15/puzzle4.txt,0.0,6.0,27.0,0.0340861
benchmark_puzzles/benchmarks3x3/15/puzzle5.txt,0.0,19.0,27.0,0.0329693
benchmark_puzzles/benchmarks3x3/15/puzzle6.txt,0.0,17.0,27.0,0.034417
benchmark_puzzles/benchmarks3x3/15/puzzle7.txt,0.0,11.0,27.0,0.0358411
benchmark_puzzles/benchmarks3x3/15/puzzle8.txt,0.0,14.0,27.0,0.0336975
benchmark_puzzles/benchmarks3x3/15/puzzle9.txt,0.0,15.0,27.0,0.0380242
benchmark_puzzles/benchmarks3x3/15/puzzle10.txt,0.0,15.0,27.0,0.0347234
benchmark_puzzles/benchmarks3x3/15/puzzle11.txt,0.0,12.0,27.0,0.0336621
benchmark_puzzles/benchmarks3x3/15/puzzle12.txt,0.0,13.0,27.0,0.0335906
benchmark_puzzles/benchmarks3x3/15/puzzle13.txt,0.0,18.0,27.0,0.0323178
benchmark_puzzles/benchmarks3x3/15/puzzle14.txt,0.0,14.0,27.0,0.0326992
benchmark_puzzles/benchmarks3x3/15/puzzle15.txt,0.0,13.0,27.0,0.0330975
benchmark_puzzles/benchmarks3x3/15/puzzle16.txt,0.0,15.0,27.0,0.0345394
benchmark_puzzles/benchmarks3x3/15/puzzle17.txt,0.0,13.0,27.0,0.0343721
benchmark_puzzles/benchmarks3x3/15/puzzle18.txt,0.0,16.0,27.0,0.0325843
benchmark_puzzles/benchmarks3x3/15/puzzle19.txt,0.0,10.0,27.0,0.0336579
benchmark_puzzles/benchmarks3x3/15/puzzle20.txt,0.0,13.0,27.0,0.0326734
benchmark_puzzles/benchmarks3x3/20/puzzle1.txt,0.0,12.0,27.0,0.0347611
benchmark_puzzles/benchmarks3x3/20/puzzle2.txt,0.0,10.0,27.0,0.0317095
benchmark_puzzles/benchmarks3x3/20/puzzle3.txt,0.0,17.0,27.0,0.0328856
benchmark_puzzles/benchmarks3x3/20/puzzle4.txt,0.0,11.0,27.0,0.031721
benchmark_puzzles/benchmarks3x3/20/puzzle5.txt,0.0,20.0,27.0,0.0341671
benchmark_puzzles/benchmarks3x3/20/puzzle6.txt,0.0,21.0,27.0,0.0307895
benchmark_puzzles/benchmarks3x3/20/puzzle7.txt,0.0,12.0,27.0,0.0336322
benchmark_puzzles/benchmarks3x3/20/puzzle8.txt,0.0,18.0,27.0,0.0347114
benchmark_puzzles/benchmarks3x3/20/puzzle9.txt,0.0,17.0,27.0,0.0345474
benchmark_puzzles/benchmarks3x3/20/puzzle10.txt,0.0,19.0,27.0,0.032653
benchmark_puzzles/benchmarks3x3/20/puzzle11.txt,0.0,17.0,27.0,0.0363743
benchmark_puzzles/benchmarks3x3/20/puzzle12.txt,0.0,17.0,27.0,0.0342022
